bucket, insert_speed(Kops/s), cache_ref, cache_miss, tlb_load, tlb_miss
50 , 3365.303719, 2583320, 633143, 154339091, 484897
100 , 3312.190517, 5353076, 1283711, 305440027, 1322689
150 , 3160.602874, 8504731, 2069414, 457043380, 2737284
200 , 3161.510506, 11569022, 2691113, 608649949, 3169201
250 , 3129.831678, 14876371, 3567686, 760248131, 4176018
300 , 3111.226342, 17941615, 4179151, 911853071, 5678414
350 , 3075.411732, 21471306, 5235274, 1063454469, 7098902
400 , 3087.694380, 24606981, 5818486, 1215056203, 9276487
450 , 3070.161375, 28240282, 6864892, 1366666376, 9521789
500 , 3042.245226, 31550876, 7561221, 1518265077, 10827555
550 , 3006.986049, 35354435, 8608814, 1669863424, 12177281
600 , 2852.243789, 38702051, 9267922, 1821390929, 13802464
650 , 2976.687954, 43171676, 10657994, 1973072661, 15210667
700 , 2964.413487, 46721104, 11453877, 2124671353, 17886424
750 , 2967.201739, 51508376, 12903185, 2276278897, 18093741
800 , 2907.371859, 55065509, 13537422, 2427878018, 19503926
850 , 2892.973919, 60474270, 15173573, 2579481675, 21223243
900 , 2850.650613, 64587898, 16303317, 2731083826, 23612342
950 , 2871.954368, 70184694, 17917241, 2882690193, 23870475
1000 , 2813.951911, 75259079, 19164845, 3034287775, 25590008
1050 , 2802.343506, 78730775, 20211393, 3186392649, 27852743
1100 , 2750.567992, 85832073, 22354509, 3338497870, 29649642
1150 , 2758.559149, 89071258, 23113819, 3490591747, 30590054
1200 , 2726.117845, 96783536, 25527775, 3642704443, 32044026
1250 , 2659.673498, 99889537, 26043575, 3794807947, 34264325
1300 , 2673.622473, 108567143, 28807926, 3946908264, 35267946
1350 , 2639.984700, 111062100, 29950771, 4098998853, 36888994
1400 , 2631.219380, 120124897, 32238542, 4251101348, 39145298
1450 , 2591.890101, 122456584, 33335841, 4403223880, 40850865
1500 , 2571.653995, 132291103, 35309811, 4555315218, 42127805
1550 , 2535.504423, 134963551, 36684698, 4707423921, 43991639
1600 , 2580.343844, 144897310, 39086838, 4859520654, 45437110
1650 , 2544.782386, 146595832, 40146236, 5011618708, 47218250
1700 , 2496.828294, 156933118, 43022712, 5163721030, 48964045
1750 , 2479.100826, 158183331, 44004255, 5315821377, 50741795
1800 , 2463.090251, 170276514, 46606283, 5467937162, 52366824
1850 , 2426.580527, 171457195, 47968998, 5620021982, 54012074
1900 , 2475.739383, 183378735, 50797866, 5772140944, 55597136
1950 , 2416.264658, 183219583, 51345558, 5924240206, 57284963
2000 , 2397.766145, 196743906, 54956237, 6076343574, 59160750
