bucket, insert_speed(Kops/s), cache_ref, cache_miss, tlb_load, tlb_miss
50 , 3891.959212, 2581122, 1571732, 153235546, 398430
100 , 3798.353034, 5311789, 3278275, 303231546, 911959
150 , 3687.750767, 8193324, 4929374, 453729072, 1439996
200 , 3635.425036, 11230959, 6644419, 604229844, 1989704
250 , 3613.980612, 14318332, 8381243, 754723864, 2603914
300 , 3604.482534, 17524760, 10175830, 905220161, 3246677
350 , 3601.697531, 20750190, 11952500, 1055725315, 3980283
400 , 3556.687373, 24043987, 13764380, 1206210571, 4707502
450 , 3526.430203, 27457074, 15594649, 1356724803, 5476647
500 , 3504.460828, 30793172, 17324054, 1507215627, 6333648
550 , 3483.543739, 34395070, 19159537, 1657712328, 7199482
600 , 3470.093577, 38155414, 21115723, 1808211236, 8059447
650 , 3466.023373, 41945752, 22980326, 1958703927, 8945906
700 , 3426.099044, 45818261, 24839195, 2109204014, 9880282
750 , 3408.542444, 49796151, 26576975, 2259696901, 10768894
800 , 3432.744174, 54002703, 28560539, 2410205400, 11703118
850 , 3374.926992, 58249452, 30448818, 2560698718, 12670989
900 , 3361.413586, 62380379, 32192052, 2711194035, 13607105
950 , 3351.063398, 66900868, 34238880, 2861695702, 14576791
1000 , 3333.504453, 71537444, 35955067, 3012185700, 15551224
1050 , 3331.107308, 76299238, 37985521, 3163191102, 16553673
1100 , 3277.226227, 81333208, 39950046, 3314194905, 17543128
1150 , 3261.743268, 86343219, 41864864, 3465189616, 18345635
1200 , 3281.666233, 91190289, 43638024, 3616191476, 19550721
1250 , 3198.125131, 96556859, 45734237, 3767189093, 20557789
1300 , 3180.479489, 101507649, 47428159, 3918192787, 21529887
1350 , 3173.423355, 107044668, 49358053, 4069176142, 22455437
1400 , 3152.238010, 112432244, 51243887, 4220170642, 23567281
1450 , 3119.743501, 118164495, 53255281, 4371173111, 24638550
1500 , 3136.968843, 124053928, 55477746, 4522171416, 25683733
1550 , 3117.222028, 129788018, 57419161, 4673174753, 26713977
1600 , 3068.832572, 135306373, 59148083, 4824171611, 27713075
1650 , 3120.824715, 141491098, 61209225, 4975175614, 28907835
1700 , 3044.088246, 146902829, 63004204, 5126169538, 29855300
1750 , 3088.361009, 153225923, 65200686, 5277169961, 30915346
1800 , 3006.136025, 158620367, 67003901, 5428169596, 31921715
1850 , 3021.050846, 165405630, 69335740, 5579160202, 33106578
1900 , 3000.336511, 171189267, 70937910, 5730164361, 34221922
1950 , 3008.157661, 177705158, 73029018, 5881164247, 35330860
2000 , 3035.550854, 184101893, 75313939, 6032154868, 36417494
