bucket, insert_speed(Kops/s), cache_ref, cache_miss, tlb_load, tlb_miss
50 , 932.037677, 18200777, 3403316, 950579270, 10997038
100 , 766.522586, 45931838, 12243792, 2046860769, 28666797
150 , 689.166577, 79286435, 23913341, 3046094892, 48327693
200 , 617.167184, 116583316, 37083553, 4241008484, 68624364
250 , 604.207702, 158677352, 51650712, 5319495649, 90218888
300 , 558.054295, 204119050, 67356397, 6435929578, 112930122
350 , 537.721633, 248246884, 84268231, 7642339623, 133774413
400 , 521.627593, 299453359, 100772010, 8749437636, 159001372
450 , 502.507456, 349186816, 119045544, 10096712998, 182474684
500 , 505.570426, 399265298, 137007407, 11402347136, 204703787
550 , 479.895351, 451475154, 156705584, 12596273308, 227812883
600 , 481.064692, 507340406, 176754064, 13420547540, 251768965
650 , 471.662174, 561018045, 197102638, 14736823423, 276378229
700 , 454.486696, 616272174, 217099205, 16526426552, 299496764
750 , 453.693391, 671562535, 237135243, 17039802140, 328395035
800 , 444.890719, 733672712, 260417781, 18083625306, 353381266
850 , 452.374733, 790006530, 281279576, 19744995277, 379805467
900 , 435.060270, 848897203, 302798261, 20496606629, 404232312
950 , 428.394395, 904971934, 325627535, 21926254634, 427119808
1000 , 431.521041, 965189599, 350096655, 23273282723, 453043733
1050 , 428.620851, 1025810961, 373420692, 24521950861, 479717470
1100 , 414.811782, 1088211184, 395754793, 26034498643, 506014132
1150 , 414.193586, 1147987615, 418863303, 26696605665, 532850336
1200 , 416.042906, 1208865801, 445646502, 28105355732, 554728553
1250 , 405.987003, 1273299116, 466943001, 29339931587, 585216659
1300 , 403.255938, 1331542833, 491404493, 30099070422, 609884881
1350 , 398.916107, 1400899795, 518181084, 31943628338, 640268982
1400 , 410.518565, 1460431427, 542152836, 32351536224, 664379925
1450 , 394.668610, 1521398793, 570394013, 32987601305, 684714640
1500 , 392.769810, 1592572212, 594149926, 35174995396, 715965937
1550 , 393.641186, 1658296365, 623660860, 37560116681, 747684513
1600 , 394.042714, 1714788999, 649614101, 38036626117, 770388152
1650 , 381.601242, 1783402386, 676147787, 39677315181, 798022112
1700 , 376.647592, 1857393419, 697937108, 41402278565, 834013410
1750 , 379.814982, 1914236168, 728725230, 43807234572, 853141584
1800 , 381.125868, 1973996484, 758282252, 43578329906, 880320532
1850 , 370.779891, 2043647370, 785810858, 44397172881, 907681307
1900 , 384.982560, 2115439067, 810788306, 44781375305, 932870621
1950 , 369.525956, 2171927319, 837048913, 46463067259, 951171834
2000 , 342.266254, 2266290179, 878168217, 47751065366, 1011020792
