bucket, insert_speed(Kops/s), cache_ref, cache_miss, tlb_load, tlb_miss
50 , 1035.222407, 18906373, 3441924, 726680503, 10711509
100 , 836.144171, 49006466, 12761549, 1448819216, 26033470
150 , 760.488660, 86442652, 25021587, 2169374215, 41849612
200 , 672.433682, 130912003, 39644814, 2899857239, 57837213
250 , 637.905140, 177461803, 55692754, 3637131982, 74153569
300 , 600.482307, 224567352, 73096547, 4337549757, 89656927
350 , 594.280879, 273087258, 92593776, 5055025384, 105723062
400 , 556.752884, 324910832, 111570804, 5781642608, 121899192
450 , 553.057171, 374547575, 131861979, 6504664261, 138209344
500 , 525.247767, 430068888, 153276591, 7254518126, 155236436
550 , 529.927665, 478626482, 175099552, 7960655227, 170977010
600 , 508.961065, 533765510, 197654414, 8683382554, 187264520
650 , 507.128194, 584873850, 219810949, 9407921461, 203640751
700 , 510.991500, 637598448, 242659197, 10115881661, 219778448
750 , 497.877482, 689596763, 267580935, 10844007419, 236032461
800 , 482.471770, 745364145, 291374583, 11571133895, 252496645
850 , 481.653943, 796841016, 316350948, 12291147037, 268646066
900 , 475.202533, 854939541, 342163209, 13026974005, 286019010
950 , 481.097453, 905124353, 366628726, 13755358745, 301949655
1000 , 460.427139, 956130973, 391622771, 14456058405, 317941636
1050 , 457.856850, 1014968000, 420972067, 15186469046, 334696534
1100 , 458.531897, 1065901949, 446478461, 15913782933, 351026099
1150 , 459.190832, 1124300150, 474758012, 16664341449, 367493753
1200 , 444.581491, 1176724799, 501224997, 17402573896, 384613466
1250 , 449.608799, 1231090466, 528284264, 18085128868, 399765922
1300 , 440.997966, 1282097952, 555847671, 18838586827, 417309289
1350 , 443.582835, 1340715741, 586281208, 19528545137, 432465217
1400 , 435.404019, 1391066367, 613102438, 20283259952, 449986638
1450 , 416.615164, 1449354385, 649832263, 20979505090, 467248285
1500 , 437.919905, 1497962577, 678832311, 21697220970, 481633645
1550 , 432.015155, 1559114915, 706083096, 22437943994, 498513284
1600 , 427.008718, 1605719070, 735051604, 23137521620, 514195701
1650 , 421.103524, 1665269019, 770426000, 23869915852, 531164038
1700 , 401.445933, 1717848203, 806822241, 24616626411, 549606027
1750 , 402.408704, 1777309397, 836904103, 25322451285, 565551969
1800 , 419.278490, 1828869083, 864704928, 26052381090, 581117780
1850 , 423.685494, 1886929396, 897941727, 26794679130, 597651271
1900 , 392.953801, 1936467330, 933063565, 27501229965, 615636940
1950 , 420.164953, 1997036018, 963128709, 28221565469, 630870439
2000 , 401.734537, 2044589091, 998691831, 28950495601, 646538854
