Log_Recover_Time, 2.1032, BucketCount, 50 , Log_size, 283.8 ,MB
Log_Recover_Time, 3.4994, BucketCount, 100 , Log_size, 430.4 ,MB
Log_Recover_Time, 4.9866, BucketCount, 150 , Log_size, 650.5 ,MB
Log_Recover_Time, 6.7795, BucketCount, 200 , Log_size, 866.8 ,MB
Log_Recover_Time, 8.6752, BucketCount, 250 , Log_size, 1082.7 ,MB
Log_Recover_Time, 10.0579, BucketCount, 300 , Log_size, 1172.3 ,MB
Log_Recover_Time, 11.5712, BucketCount, 350 , Log_size, 1392.8 ,MB
Log_Recover_Time, 11.8356, BucketCount, 400 , Log_size, 1350.7 ,MB
Log_Recover_Time, 11.8183, BucketCount, 450 , Log_size, 1355.2 ,MB
Log_Recover_Time, 11.8012, BucketCount, 500 , Log_size, 1372.5 ,MB
Log_Recover_Time, 11.8218, BucketCount, 550 , Log_size, 1394.9 ,MB
Log_Recover_Time, 11.7164, BucketCount, 600 , Log_size, 1290.7 ,MB
Log_Recover_Time, 12.3844, BucketCount, 650 , Log_size, 1302.8 ,MB
Log_Recover_Time, 12.1171, BucketCount, 700 , Log_size, 1329.3 ,MB
Log_Recover_Time, 12.2733, BucketCount, 750 , Log_size, 1349.2 ,MB
Log_Recover_Time, 12.2930, BucketCount, 800 , Log_size, 1383.7 ,MB
Log_Recover_Time, 11.6238, BucketCount, 850 , Log_size, 1398.1 ,MB
Log_Recover_Time, 10.1101, BucketCount, 900 , Log_size, 1307.7 ,MB
Log_Recover_Time, 10.2488, BucketCount, 950 , Log_size, 1319.7 ,MB
Log_Recover_Time, 10.3119, BucketCount, 1000 , Log_size, 1330.0 ,MB
Log_Recover_Time, 11.0083, BucketCount, 1050 , Log_size, 1377.2 ,MB
Log_Recover_Time, 10.7454, BucketCount, 1100 , Log_size, 1399.0 ,MB
Log_Recover_Time, 10.3207, BucketCount, 1150 , Log_size, 1299.6 ,MB
Log_Recover_Time, 10.2817, BucketCount, 1200 , Log_size, 1293.9 ,MB
Log_Recover_Time, 10.5988, BucketCount, 1250 , Log_size, 1328.6 ,MB
Log_Recover_Time, 10.9823, BucketCount, 1300 , Log_size, 1367.7 ,MB
Log_Recover_Time, 11.4947, BucketCount, 1350 , Log_size, 1393.0 ,MB
Log_Recover_Time, 11.3895, BucketCount, 1400 , Log_size, 1397.9 ,MB
Log_Recover_Time, 10.6711, BucketCount, 1450 , Log_size, 1299.1 ,MB
Log_Recover_Time, 10.9734, BucketCount, 1500 , Log_size, 1311.6 ,MB
Log_Recover_Time, 11.3686, BucketCount, 1550 , Log_size, 1354.4 ,MB
Log_Recover_Time, 11.5006, BucketCount, 1600 , Log_size, 1365.2 ,MB
Log_Recover_Time, 11.9863, BucketCount, 1650 , Log_size, 1385.5 ,MB
Log_Recover_Time, 11.0206, BucketCount, 1700 , Log_size, 1281.6 ,MB
Log_Recover_Time, 11.6054, BucketCount, 1750 , Log_size, 1318.0 ,MB
Log_Recover_Time, 11.5857, BucketCount, 1800 , Log_size, 1318.6 ,MB
Log_Recover_Time, 11.7293, BucketCount, 1850 , Log_size, 1335.0 ,MB
Log_Recover_Time, 12.2367, BucketCount, 1900 , Log_size, 1391.4 ,MB
Log_Recover_Time, 12.7214, BucketCount, 1950 , Log_size, 1407.0 ,MB
Log_Recover_Time, 11.5113, BucketCount, 2000 , Log_size, 1283.3 ,MB
